               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.073621,            0.012151,           0.0091651,             0.68915,                   1,                0.81,             0.29409,            0.067612,           0.0079431,            0.005163,           0.0086536,           0.0086536,           0.0086536
                  70,            0.063196,            0.014825,           0.0084934,             0.68915,                   1,                0.81,             0.29409,            0.067612,           0.0079431,            0.005163,           0.0086338,           0.0086338,           0.0086338
                  71,            0.058058,            0.014065,           0.0070543,             0.57612,                 0.8,             0.58754,             0.22385,            0.067439,           0.0081115,           0.0048679,            0.008614,            0.008614,            0.008614
                  72,            0.069391,            0.016031,           0.0096454,             0.57612,                 0.8,             0.58754,             0.22385,            0.067439,           0.0081115,           0.0048679,           0.0085942,           0.0085942,           0.0085942
                  73,            0.070347,            0.011876,           0.0080806,             0.68779,                0.85,             0.85401,             0.25277,            0.069229,           0.0079163,           0.0053595,           0.0085744,           0.0085744,           0.0085744
                  74,             0.06756,            0.013472,            0.009056,             0.68779,                0.85,             0.85401,             0.25277,            0.069229,           0.0079163,           0.0053595,           0.0085546,           0.0085546,           0.0085546
                  75,            0.072105,            0.013786,           0.0077503,             0.34994,                 0.9,             0.54839,             0.17866,            0.056476,           0.0080827,           0.0054804,           0.0085348,           0.0085348,           0.0085348
                  76,            0.058138,            0.015659,           0.0091028,             0.34994,                 0.9,             0.54839,             0.17866,            0.056476,           0.0080827,           0.0054804,            0.008515,            0.008515,            0.008515
                  77,            0.059316,            0.017233,           0.0099334,             0.82565,                   1,             0.94024,             0.54349,            0.050579,           0.0078618,           0.0053757,           0.0084952,           0.0084952,           0.0084952
                  78,            0.059591,            0.013745,           0.0085059,             0.82565,                   1,             0.94024,             0.54349,            0.050579,           0.0078618,           0.0053757,           0.0084754,           0.0084754,           0.0084754
                  79,            0.052168,            0.013275,           0.0089741,             0.56653,                 0.7,             0.64194,             0.21183,            0.063614,           0.0079112,           0.0051569,           0.0084556,           0.0084556,           0.0084556
                  80,            0.062585,            0.012503,           0.0091205,             0.56653,                 0.7,             0.64194,             0.21183,            0.063614,           0.0079112,           0.0051569,           0.0084358,           0.0084358,           0.0084358
                  81,            0.060014,            0.014508,           0.0072494,             0.80626,             0.95193,             0.94486,             0.56131,            0.049153,           0.0082341,           0.0050563,            0.008416,            0.008416,            0.008416
                  82,            0.053238,           0.0099584,           0.0065321,             0.80626,             0.95193,             0.94486,             0.56131,            0.049153,           0.0082341,           0.0050563,           0.0083962,           0.0083962,           0.0083962
                  83,            0.060966,            0.011102,           0.0080345,             0.51706,             0.90171,             0.72403,             0.23476,            0.061652,           0.0079389,           0.0050096,           0.0083764,           0.0083764,           0.0083764
                  84,            0.064593,            0.012969,            0.010793,             0.51706,             0.90171,             0.72403,             0.23476,            0.061652,           0.0079389,           0.0050096,           0.0083566,           0.0083566,           0.0083566
                  85,            0.060865,           0.0099334,           0.0075628,             0.72875,                0.85,             0.84065,             0.27872,            0.066242,           0.0072066,           0.0047531,           0.0083368,           0.0083368,           0.0083368
                  86,             0.05975,            0.010145,            0.012511,             0.72875,                0.85,             0.84065,             0.27872,            0.066242,           0.0072066,           0.0047531,            0.008317,            0.008317,            0.008317
                  87,            0.069753,            0.013729,           0.0080872,             0.55312,              0.8537,             0.79492,             0.36854,            0.054551,           0.0074095,           0.0047073,           0.0082972,           0.0082972,           0.0082972
                  88,            0.055148,            0.014145,           0.0075706,             0.55312,              0.8537,             0.79492,             0.36854,            0.054551,           0.0074095,           0.0047073,           0.0082774,           0.0082774,           0.0082774
                  89,            0.056517,            0.011879,           0.0083957,             0.68428,             0.71365,             0.81398,             0.24567,             0.05429,           0.0073671,           0.0047267,           0.0082576,           0.0082576,           0.0082576
                  90,            0.061296,            0.012638,           0.0066168,             0.68428,             0.71365,             0.81398,             0.24567,             0.05429,           0.0073671,           0.0047267,           0.0082378,           0.0082378,           0.0082378
                  91,            0.061575,            0.012558,           0.0089433,             0.39833,             0.96054,             0.58202,             0.27554,            0.055679,           0.0074524,           0.0046807,            0.008218,            0.008218,            0.008218
                  92,            0.059014,            0.011464,            0.007199,             0.39833,             0.96054,             0.58202,             0.27554,            0.055679,           0.0074524,           0.0046807,           0.0081982,           0.0081982,           0.0081982
                  93,            0.065362,            0.012088,            0.008064,             0.71653,                 0.9,             0.89881,             0.35237,            0.048464,           0.0075442,           0.0047017,           0.0081784,           0.0081784,           0.0081784
                  94,            0.048787,            0.010637,           0.0066334,             0.71653,                 0.9,             0.89881,             0.35237,            0.048464,           0.0075442,           0.0047017,           0.0081586,           0.0081586,           0.0081586
                  95,            0.052114,             0.01428,           0.0089832,             0.80468,              0.6382,             0.77626,             0.33064,            0.047314,           0.0074734,           0.0045123,           0.0081388,           0.0081388,           0.0081388
                  96,            0.050932,            0.012515,           0.0065855,             0.80468,              0.6382,             0.77626,             0.33064,            0.047314,           0.0074734,           0.0045123,            0.008119,            0.008119,            0.008119
                  97,            0.054233,            0.013052,            0.006342,             0.75379,                 0.9,             0.91123,             0.36718,            0.053721,           0.0071726,            0.004457,           0.0080992,           0.0080992,           0.0080992
                  98,            0.048889,             0.01165,           0.0071331,             0.75379,                 0.9,             0.91123,             0.36718,            0.053721,           0.0071726,            0.004457,           0.0080794,           0.0080794,           0.0080794
                  99,            0.053549,            0.011218,           0.0076421,              0.4865,                   1,             0.89489,             0.38426,            0.045911,           0.0077831,           0.0042674,           0.0080596,           0.0080596,           0.0080596
                 100,            0.056875,           0.0097163,           0.0056001,              0.4865,                   1,             0.89489,             0.38426,            0.045911,           0.0077831,           0.0042674,           0.0080398,           0.0080398,           0.0080398
                 101,            0.054089,            0.012908,           0.0065164,             0.55991,                0.95,             0.82646,             0.33957,            0.046334,           0.0075335,           0.0043044,             0.00802,             0.00802,             0.00802
                 102,            0.055779,            0.013046,           0.0076356,             0.55991,                0.95,             0.82646,             0.33957,            0.046334,           0.0075335,           0.0043044,           0.0080002,           0.0080002,           0.0080002
                 103,            0.052169,            0.010958,           0.0070464,             0.60765,                0.95,              0.9054,             0.44068,            0.041238,           0.0074334,           0.0042356,           0.0079804,           0.0079804,           0.0079804
                 104,            0.050197,            0.012246,           0.0076969,             0.60765,                0.95,              0.9054,             0.44068,            0.041238,           0.0074334,           0.0042356,           0.0079606,           0.0079606,           0.0079606
                 105,            0.054827,            0.010842,           0.0084317,             0.87664,                0.95,             0.98071,             0.29467,            0.053827,           0.0067777,           0.0042018,           0.0079408,           0.0079408,           0.0079408
                 106,             0.05918,            0.011184,           0.0056742,             0.87664,                0.95,             0.98071,             0.29467,            0.053827,           0.0067777,           0.0042018,            0.007921,            0.007921,            0.007921
                 107,             0.06324,            0.013835,           0.0061975,              0.6962,                   1,             0.85779,             0.35391,             0.04775,           0.0069079,           0.0041666,           0.0079012,           0.0079012,           0.0079012
                 108,            0.059316,            0.011538,           0.0056678,              0.6962,                   1,             0.85779,             0.35391,             0.04775,           0.0069079,           0.0041666,           0.0078814,           0.0078814,           0.0078814
                 109,            0.059796,             0.01038,           0.0056496,             0.91395,                 0.9,             0.96821,             0.31718,            0.059778,           0.0065893,            0.004366,           0.0078616,           0.0078616,           0.0078616
                 110,            0.054609,            0.010501,           0.0066231,             0.91395,                 0.9,             0.96821,             0.31718,            0.059778,           0.0065893,            0.004366,           0.0078418,           0.0078418,           0.0078418
                 111,            0.054964,            0.010258,           0.0059938,             0.89071,             0.95559,             0.95409,             0.50264,            0.046882,           0.0068849,            0.004303,            0.007822,            0.007822,            0.007822
                 112,            0.047114,            0.010903,            0.005306,             0.89071,             0.95559,             0.95409,             0.50264,            0.046882,           0.0068849,            0.004303,           0.0078022,           0.0078022,           0.0078022
                 113,             0.04918,            0.010404,           0.0071112,             0.92507,                   1,               0.995,             0.39361,             0.05194,           0.0066811,           0.0041969,           0.0077824,           0.0077824,           0.0077824
                 114,            0.054262,            0.012308,           0.0080955,             0.92507,                   1,               0.995,             0.39361,             0.05194,           0.0066811,           0.0041969,           0.0077626,           0.0077626,           0.0077626
                 115,            0.051594,            0.011894,            0.006121,             0.71762,                   1,             0.82132,             0.37453,            0.045659,           0.0068134,           0.0040999,           0.0077428,           0.0077428,           0.0077428
                 116,            0.055945,            0.011136,           0.0072837,             0.71762,                   1,             0.82132,             0.37453,            0.045659,           0.0068134,           0.0040999,            0.007723,            0.007723,            0.007723
                 117,            0.058158,           0.0083929,           0.0065849,             0.85381,                   1,             0.94028,              0.4156,            0.046547,           0.0066495,           0.0040716,           0.0077032,           0.0077032,           0.0077032
                 118,            0.048776,            0.011306,           0.0091934,             0.85381,                   1,             0.94028,              0.4156,            0.046547,           0.0066495,           0.0040716,           0.0076834,           0.0076834,           0.0076834
                 119,             0.04146,            0.010198,           0.0065245,             0.80115,             0.96364,             0.88905,             0.47107,            0.039233,           0.0071232,            0.003892,           0.0076636,           0.0076636,           0.0076636
                 120,            0.043751,            0.011391,           0.0062567,             0.80115,             0.96364,             0.88905,             0.47107,            0.039233,           0.0071232,            0.003892,           0.0076438,           0.0076438,           0.0076438
                 121,            0.043032,            0.010978,           0.0061742,             0.86184,                0.95,             0.96833,             0.43983,             0.04397,           0.0073009,           0.0038516,            0.007624,            0.007624,            0.007624
                 122,            0.045627,           0.0089335,           0.0060668,             0.86184,                0.95,             0.96833,             0.43983,             0.04397,           0.0073009,           0.0038516,           0.0076042,           0.0076042,           0.0076042
